## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT SRR13586007_query_sorted.bam --OUTPUT SRR13586007_remove_dup.bam --METRICS_FILE /home/ndo/bash_script/removedup_script/marked_dup_metrics.txt --REMOVE_DUPLICATES true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jan 26 15:02:57 PST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	59827	29502944	1060240	80857	8140	2133039	0	0.072364	194076087

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	25375435	25375435
2.0	1.858973	1876167	1876167
3.0	2.596809	109118	109118
4.0	3.230589	6727	6727
5.0	3.77499	1034	1034
6.0	4.242616	437	437
7.0	4.644294	239	239
8.0	4.989324	162	162
9.0	5.285697	118	118
10.0	5.540272	85	85
11.0	5.758946	51	51
12.0	5.946781	54	54
13.0	6.108126	38	38
14.0	6.246718	27	27
15.0	6.365764	32	32
16.0	6.468021	23	23
17.0	6.555858	15	15
18.0	6.631307	15	15
19.0	6.696116	14	14
20.0	6.751785	10	10
21.0	6.799603	5	5
22.0	6.840678	7	7
23.0	6.87596	6	6
24.0	6.906266	1	1
25.0	6.932298	7	7
26.0	6.954659	3	3
27.0	6.973867	5	5
28.0	6.990366	4	4
29.0	7.004538	5	5
30.0	7.016711	1	1
31.0	7.027168	1	1
32.0	7.036149	3	3
33.0	7.043865	0	0
34.0	7.050492	3	3
35.0	7.056184	4	4
36.0	7.061074	2	2
37.0	7.065274	3	3
38.0	7.068882	1	1
39.0	7.071981	1	1
40.0	7.074643	3	3
41.0	7.07693	5	5
42.0	7.078894	0	0
43.0	7.080581	1	1
44.0	7.08203	1	1
45.0	7.083275	1	1
46.0	7.084344	0	0
47.0	7.085263	1	1
48.0	7.086052	2	2
49.0	7.08673	1	1
50.0	7.087312	0	0
51.0	7.087812	1	1
52.0	7.088241	1	1
53.0	7.08861	2	2
54.0	7.088927	0	0
55.0	7.089199	4	4
56.0	7.089433	0	0
57.0	7.089634	1	1
58.0	7.089806	0	0
59.0	7.089955	0	0
60.0	7.090082	0	0
61.0	7.090191	0	0
62.0	7.090285	2	2
63.0	7.090366	2	2
64.0	7.090435	0	0
65.0	7.090495	0	0
66.0	7.090546	1	1
67.0	7.09059	1	1
68.0	7.090627	0	0
69.0	7.09066	0	0
70.0	7.090688	0	0
71.0	7.090712	0	0
72.0	7.090732	0	0
73.0	7.09075	1	1
74.0	7.090765	1	1
75.0	7.090778	0	0
76.0	7.090789	2	2
77.0	7.090799	0	0
78.0	7.090807	0	0
79.0	7.090814	1	1
80.0	7.09082	0	0
81.0	7.090825	0	0
82.0	7.09083	0	0
83.0	7.090834	0	0
84.0	7.090837	1	1
85.0	7.09084	1	1
86.0	7.090842	0	0
87.0	7.090844	1	1
88.0	7.090846	0	0
89.0	7.090848	0	0
90.0	7.090849	0	0
91.0	7.09085	0	0
92.0	7.090851	0	0
93.0	7.090852	0	0
94.0	7.090853	0	0
95.0	7.090853	0	0
96.0	7.090854	0	0
97.0	7.090854	1	1
98.0	7.090855	0	0
99.0	7.090855	0	0
100.0	7.090855	0	0
107.0	0	1	1
110.0	0	1	1
129.0	0	1	1

